Model,Sampler,Tuning Stage,Threshold,ROC-AUC,Accuracy,Precision(1),Recall(1),F1-Score(1),Precision(0),Recall(0),F2-Score,Custom Score,PScore,Customer Retained per $100
XGBoost,SMOTE,Tuned - Rank 2,0.5,0.8521695809831402,0.8335,0.5787234042553191,0.6683046683046683,0.6202964652223489,0.9117647058823529,0.8757062146892656,0.6482364156339371,38.67635527209995,22.38291198725784,57.87234042553191
XGBoost,SMOTE,Tuned - Rank 3,0.5,0.8610289796730475,0.8315,0.5711382113821138,0.6904176904176904,0.625139043381535,0.916445623342175,0.8675455116133082,0.6627358490566038,39.432392481172975,22.521346112214644,57.113821138211385
LightGBM,SMOTE,Baseline,0.5,0.8573627556678405,0.857,0.6805970149253732,0.5601965601965602,0.6145552560646901,0.8924924924924925,0.9328311362209667,0.5807437595517065,38.12681066412409,25.948993526627746,68.05970149253731
LightGBM,SMOTE,Tuned - Rank 1,0.5,0.857318797996764,0.8205,0.5465116279069767,0.6928746928746928,0.6110509209100758,0.9157681940700808,0.8531073446327684,0.6576492537313433,37.86640763384949,20.694432078964255,54.65116279069767
LightGBM,SMOTE,Tuned - Rank 2,0.5,0.8576480949362306,0.824,0.5538160469667319,0.6953316953316954,0.616557734204793,0.9167226326393553,0.8568738229755178,0.6615240766713417,38.50858508392756,21.326672365462816,55.38160469667319
LightGBM,SMOTE,Tuned - Rank 3,0.5,0.8600056142429024,0.8185,0.5421455938697318,0.6953316953316954,0.6092572658772875,0.9161028416779432,0.8499686126804771,0.6581395348837209,37.69710149020494,20.43731747457471,54.214559386973185
Logistic Regression,SMOTEENN,Baseline,0.5,0.7703898042881094,0.6905,0.3681592039800995,0.7272727272727273,0.4888521882741536,0.907190635451505,0.6811048336472065,0.6085526315789473,26.775214834916326,9.857541780018945,36.81592039800995
Logistic Regression,SMOTEENN,Tuned - Rank 1,0.5,0.7479852734090022,0.5935,0.3077651515151515,0.7985257985257985,0.44429254955570746,0.913135593220339,0.5411173885750157,0.6054396423248882,24.57584133720497,7.563587532757212,30.77651515151515
Logistic Regression,SMOTEENN,Tuned - Rank 2,0.5,0.7631036275104073,0.6215,0.32429718875502006,0.7936117936117936,0.46044191019244474,0.9163346613545816,0.5775266792215945,0.6154725609756098,25.736607363113386,8.34630941594942,32.429718875502004
Logistic Regression,SMOTEENN,Tuned - Rank 3,0.5,0.769785193514007,0.647,0.34010695187165774,0.7813267813267813,0.47391952309985097,0.9164319248826291,0.6126804770872567,0.6203667577058135,26.573467001274487,9.037820862465546,34.01069518716577
KNN,SMOTEENN,Baseline,0.5,0.7586091484396569,0.6915,0.37037037037037035,0.7371007371007371,0.4930156121610518,0.9100840336134454,0.67984934086629,0.6152584085315833,27.300027300027295,10.111121222232331,37.03703703703704
KNN,SMOTEENN,Tuned - Rank 1,0.5,0.7382127890602467,0.7025,0.37792207792207794,0.714987714987715,0.49447748513169076,0.9056910569105691,0.6993094789704959,0.6067556296914095,27.02096429369157,10.21181897333019,37.79220779220779
KNN,SMOTEENN,Tuned - Rank 2,0.5,0.7305302220556458,0.712,0.3840877914951989,0.687960687960688,0.49295774647887325,0.9000786782061369,0.7181418706842435,0.5939753924480271,26.42373012743383,10.149032147711212,38.40877914951989
KNN,SMOTEENN,Tuned - Rank 3,0.5,0.7504430470532165,0.699,0.3738680465717982,0.7100737100737101,0.48983050847457626,0.9038304808475958,0.6961707470182047,0.6018325697625989,26.54738709072474,9.925219753194629,37.386804657179816
Decision Tree,SMOTEENN,Baseline,0.5,0.7490996389301473,0.7635,0.4496951219512195,0.7248157248157249,0.555032925682032,0.9166666666666666,0.77338355304457,0.6457968476357268,32.5946095763169,14.657636928374213,44.96951219512195
Decision Tree,SMOTEENN,Tuned - Rank 1,0.5,0.7664366986400886,0.771,0.4611872146118721,0.7444717444717445,0.5695488721804511,0.9225614296351452,0.7777777777777778,0.6630196936542669,34.33408501901653,15.834441036167435,46.118721461187214
Decision Tree,SMOTEENN,Tuned - Rank 2,0.5,0.7919591394167667,0.766,0.45468053491827637,0.7518427518427518,0.5666666666666667,0.9238884702336096,0.7696170747018205,0.6649282920469362,34.18482645822913,15.543175180116068,45.46805349182764
Decision Tree,SMOTEENN,Tuned - Rank 3,0.5,0.7951009561179053,0.7635,0.45103857566765576,0.7469287469287469,0.5624421831637373,0.9223227752639518,0.7677338355304457,0.6602953953084274,33.68936781399689,15.195204473968923,45.103857566765576
Random Forest,SMOTEENN,Baseline,0.5,0.8500079432282822,0.793,0.4943089430894309,0.7469287469287469,0.5949119373776908,0.9256317689530686,0.8047708725674827,0.6776638430673205,36.921355945746186,18.250556434970473,49.43089430894309
Random Forest,SMOTEENN,Tuned - Rank 1,0.5,0.8473720253381269,0.8045,0.5139372822299652,0.7248157248157249,0.601427115188583,0.9214586255259467,0.8248587570621468,0.6698455949137148,37.25098237293359,19.14466864114183,51.393728222996515
Random Forest,SMOTEENN,Tuned - Rank 2,0.5,0.8500827483878329,0.791,0.4909983633387889,0.7371007371007371,0.5893909626719057,0.9229661627069834,0.8047708725674827,0.6699419383653417,36.191525553227684,17.769979813368746,49.09983633387889
Random Forest,SMOTEENN,Tuned - Rank 3,0.5,0.8501058840041891,0.793,0.4942528735632184,0.7395577395577395,0.59251968503937,0.9237958303378864,0.8066541117388575,0.6727760393383997,36.5528537942331,18.0663530247359,49.42528735632184
